id,name,age,address,cell phone,hobby,color
36,한건우,37,세종 강서구 123-45,010-5930-5883,요리,국민의 힘
37,박은우,64,수원 기흥구 123-45,010-8443-3930,웹서핑,무소속
38,윤지안,59,수원 성북구 123-45,010-8468-5486,여행,개혁신당
39,오도윤,42,세종 흥덕구 123-45,010-5358-5245,자전거 타기,무소속
40,최지원,68,광주 남구 123-45,010-1626-9034,웹서핑,민주당
41,김서연,45,김해 유성구 123-45,010-1870-4238,자전거 타기,국민의 힘
42,이건우,41,창원 팔달구 123-45,010-9508-6844,운동,무소속
43,장시우,46,전주 흥덕구 123-45,010-9217-4921,카페 투어,민주당
44,이지후,24,울산 일산동구 123-45,010-3745-2671,뜨개질,개혁신당
45,임지민,78,서울 장유동 123-45,010-7873-8309,유튜브 보기,민주당
46,장지원,25,부산 기흥구 123-45,010-1890-2734,독서,민주당
47,한소율,39,성남 팔달구 123-45,010-2707-7945,영화감상,개혁신당
48,강서연,53,안산 중구 123-45,010-2795-5193,음악감상,개혁신당
49,서소율,57,광주 송파구 123-45,010-9302-2988,자전거 타기,국민의 힘
50,정현우,53,용인 강남구 123-45,010-4077-3054,보드게임,민주당
51,정소율,48,남양주 신제주 123-45,010-2260-2860,독서,국민의 힘
52,최지원,54,평택 북구 123-45,010-9934-9198,일기 쓰기,민주당
53,정건우,38,용인 동구 123-45,010-2392-4320,카페 투어,무소속
54,최지안,74,천안 유성구 123-45,010-6323-3577,카페 투어,민주당
55,김현우,31,서울 덕진구 123-45,010-4605-8322,음악감상,무소속
56,서민수,56,천안 팔달구 123-45,010-6583-4277,사진촬영,국민의 힘
57,박민수,42,김해 덕양구 123-45,010-7227-6691,사진촬영,개혁신당
58,장태윤,21,전주 일산동구 123-45,010-2915-1773,사진촬영,민주당
59,정하은,73,안산 흥덕구 123-45,010-3841-5902,등산,민주당
60,조예린,59,김해 달서구 123-45,010-6072-6660,보드게임,국민의 힘
61,박수빈,51,울산 남구 123-45,010-5520-4208,카페 투어,개혁신당
62,한서연,78,전주 동구 123-45,010-7072-5125,영화감상,국민의 힘
63,임도윤,70,청주 수성구 123-45,010-2967-6048,음악감상,무소속
64,임서연,40,대구 장유동 123-45,010-6543-7483,영화감상,국민의 힘
65,박지원,68,전주 수성구 123-45,010-6876-4176,카페 투어,개혁신당
66,김건우,41,울산 송파구 123-45,010-9016-8275,여행,개혁신당
67,최서준,62,광주 팔달구 123-45,010-8382-7773,뜨개질,개혁신당
68,신지안,56,용인 북구 123-45,010-5809-2735,보드게임,무소속
69,박민수,54,전주 덕진구 123-45,010-8745-5468,게임,국민의 힘
70,조건우,23,광주 해운대구 123-45,010-1333-2222,유튜브 보기,민주당
71,조서연,72,창원 덕진구 123-45,010-2312-5610,보드게임,국민의 힘
72,최민수,51,남양주 동구 123-45,010-3663-9553,요리,민주당
73,임민수,43,청주 유성구 123-45,010-2566-7741,웹서핑,국민의 힘
74,이태윤,33,평택 팔달구 123-45,010-6338-5277,요리,국민의 힘
75,조은우,48,안양 분당구 123-45,010-5139-6573,요리,개혁신당
76,박소율,76,세종 성북구 123-45,010-7953-2041,여행,민주당
77,이수빈,73,세종 일산동구 123-45,010-9388-3049,독서,국민의 힘
78,오하윤,48,서울 남구 123-45,010-3177-5012,뜨개질,무소속
79,오지원,46,전주 서북구 123-45,010-1053-6918,보드게임,무소속
80,한소율,64,세종 팔달구 123-45,010-8698-4974,웹서핑,민주당
81,최태윤,63,서울 일산동구 123-45,010-5754-6127,카페 투어,민주당
82,이도윤,53,수원 북구 123-45,010-2028-1646,보드게임,개혁신당
83,박민수,57,부산 진해구 123-45,010-1919-7925,카페 투어,국민의 힘
84,정소율,58,제주 강남구 123-45,010-8563-3761,여행,민주당
85,서건우,24,서울 진해구 123-45,010-7243-7958,카페 투어,민주당
86,김현우,49,대구 장유동 123-45,010-2337-5459,음악감상,국민의 힘
87,강예은,45,세종 분당구 123-45,010-5717-4397,보드게임,무소속
88,이하윤,50,평택 중구 123-45,010-2419-7954,유튜브 보기,무소속
89,정예린,48,안산 덕양구 123-45,010-8653-8139,웹서핑,개혁신당
90,김시우,31,김해 덕진구 123-45,010-3051-7874,보드게임,민주당
91,김예은,41,인천 덕진구 123-45,010-6044-4304,독서,개혁신당
92,신소율,73,세종 서구 123-45,010-4686-4058,독서,민주당
93,신예린,47,청주 송파구 123-45,010-1396-7192,보드게임,개혁신당
94,서현우,20,안양 북구 123-45,010-4382-3801,자전거 타기,민주당
95,한도윤,47,세종 기흥구 123-45,010-2428-2635,일기 쓰기,무소속
96,한도윤,67,울산 강남구 123-45,010-1981-3114,자전거 타기,국민의 힘
97,박은우,78,안산 남구 123-45,010-8479-4500,음악감상,개혁신당
98,김지원,20,수원 중구 123-45,010-2465-8748,자전거 타기,무소속
99,김지민,65,안산 신제주 123-45,010-6183-3237,보드게임,국민의 힘
100,강유진,58,대구 달서구 123-45,010-3805-8354,보드게임,국민의 힘
101,장지안,29,안산 중구 123-45,010-9834-4608,웹서핑,개혁신당
102,이건우,67,안양 기흥구 123-45,010-5994-9571,일기 쓰기,민주당
103,오지후,40,울산 수성구 123-45,010-5624-9355,자전거 타기,개혁신당
104,한은우,46,수원 강서구 123-45,010-4451-9662,영화감상,개혁신당
105,오예은,54,수원 덕양구 123-45,010-1189-3510,자전거 타기,무소속
106,박건우,75,울산 송파구 123-45,010-8549-4944,운동,국민의 힘
107,정하윤,32,김해 기흥구 123-45,010-3977-6519,보드게임,민주당
108,정은우,53,전주 일산동구 123-45,010-9912-2013,일기 쓰기,국민의 힘
109,윤현우,60,포항 남구 123-45,010-4988-5200,독서,무소속
110,한서연,32,울산 남구 123-45,010-4807-3545,영화감상,국민의 힘
111,박지후,31,부산 서북구 123-45,010-2431-6641,수영,국민의 힘
112,서유진,22,남양주 신제주 123-45,010-5977-5666,게임,국민의 힘
113,김하은,64,포항 서북구 123-45,010-2383-1791,사진촬영,무소속
114,김태윤,63,김해 강남구 123-45,010-5801-7961,일기 쓰기,민주당
115,서건우,48,대전 동구 123-45,010-3368-2054,뜨개질,개혁신당
116,박하윤,52,인천 덕진구 123-45,010-3305-4272,드로잉,개혁신당
117,한유진,38,서울 동구 123-45,010-8460-4402,자전거 타기,민주당
118,강시우,63,수원 북구 123-45,010-9871-8109,자전거 타기,민주당
119,서하윤,30,제주 중구 123-45,010-4496-2871,사진촬영,개혁신당
120,장소율,48,안산 유성구 123-45,010-1737-5496,웹서핑,개혁신당
121,한예린,67,평택 성북구 123-45,010-8610-5057,운동,무소속
122,이서준,41,창원 일산동구 123-45,010-5187-3141,음악감상,무소속
123,임지후,37,포항 해운대구 123-45,010-7950-9884,드로잉,무소속
124,윤하윤,35,창원 일산동구 123-45,010-7551-2814,카페 투어,민주당
125,김서준,33,창원 팔달구 123-45,010-1993-3625,자전거 타기,국민의 힘
126,강민수,76,안양 달서구 123-45,010-5685-4104,음악감상,개혁신당
127,박지원,74,대전 일산동구 123-45,010-1693-8905,웹서핑,민주당
128,조시우,65,고양 흥덕구 123-45,010-2463-1285,독서,국민의 힘
129,장도윤,32,대전 동구 123-45,010-9159-5665,보드게임,개혁신당
130,이예은,77,수원 강서구 123-45,010-4333-1716,등산,민주당
131,최서준,47,울산 신제주 123-45,010-5113-5152,운동,무소속
132,서하은,35,대전 장유동 123-45,010-4087-2966,웹서핑,민주당
133,윤소율,40,포항 수성구 123-45,010-8461-7750,수영,민주당
134,신건우,79,부산 중구 123-45,010-4315-1525,유튜브 보기,민주당
135,최지안,64,안산 흥덕구 123-45,010-5551-8905,여행,국민의 힘
136,장지안,25,평택 강남구 123-45,010-1958-6791,보드게임,국민의 힘
137,임서준,59,용인 진해구 123-45,010-4483-5811,웹서핑,국민의 힘
138,서도윤,48,안산 성북구 123-45,010-9965-8101,사진촬영,무소속
139,최하은,63,남양주 달서구 123-45,010-3658-3702,웹서핑,개혁신당
140,김지안,31,성남 서구 123-45,010-8062-7155,독서,민주당
141,오지후,69,김해 성북구 123-45,010-2728-8484,게임,국민의 힘
142,조은우,77,평택 팔달구 123-45,010-7922-4484,웹서핑,개혁신당
143,김수빈,65,광주 강서구 123-45,010-7914-1251,유튜브 보기,무소속
144,최하은,37,제주 강남구 123-45,010-8968-7061,드로잉,개혁신당
145,정하윤,29,창원 달서구 123-45,010-1717-2124,수영,개혁신당
146,박예은,45,안양 덕진구 123-45,010-5598-8128,뜨개질,개혁신당
147,최건우,62,김해 중구 123-45,010-2366-2926,영화감상,국민의 힘
148,임유진,74,세종 흥덕구 123-45,010-9832-9299,등산,민주당
149,장민수,57,인천 덕양구 123-45,010-6595-6652,영화감상,국민의 힘
150,임하은,58,천안 장유동 123-45,010-3541-4032,사진촬영,민주당
151,임서준,55,평택 송파구 123-45,010-2325-7786,요리,민주당
152,정예린,31,부산 서구 123-45,010-4898-7944,여행,무소속
153,오시우,20,안양 서구 123-45,010-2067-8502,카페 투어,개혁신당
154,서지안,37,안양 강서구 123-45,010-9861-2461,사진촬영,무소속
155,서소율,54,천안 일산동구 123-45,010-5576-3553,등산,무소속
156,윤수빈,55,대구 일산동구 123-45,010-1068-8760,영화감상,민주당
157,강지민,59,고양 서북구 123-45,010-8549-3746,등산,개혁신당
158,김지원,41,화성 남구 123-45,010-6494-4617,영화감상,민주당
159,신민수,65,세종 유성구 123-45,010-2347-8457,운동,개혁신당
160,한태윤,44,인천 강남구 123-45,010-4405-5474,보드게임,국민의 힘
161,장도윤,22,화성 일산동구 123-45,010-4517-8527,사진촬영,국민의 힘
162,최태윤,72,수원 성북구 123-45,010-7380-8092,드로잉,국민의 힘
163,강예린,71,전주 송파구 123-45,010-6405-7623,드로잉,개혁신당
164,서소율,51,안양 강서구 123-45,010-6134-8554,수영,무소속
165,윤하윤,40,인천 성동구 123-45,010-3210-1029,웹서핑,개혁신당
166,장지민,58,대구 덕진구 123-45,010-2200-9635,뜨개질,국민의 힘
167,박은우,35,대전 해운대구 123-45,010-5605-5147,유튜브 보기,민주당
168,한지후,73,전주 성동구 123-45,010-7238-7590,영화감상,국민의 힘
169,정현우,30,세종 팔달구 123-45,010-4640-1954,독서,개혁신당
170,한건우,31,김해 덕진구 123-45,010-3762-2339,독서,무소속
171,강지후,35,수원 서북구 123-45,010-4751-5307,보드게임,민주당
172,서하은,71,안양 진해구 123-45,010-1923-3331,독서,국민의 힘
173,오수빈,24,광주 해운대구 123-45,010-9263-6195,유튜브 보기,민주당
174,장현우,77,광주 성동구 123-45,010-1707-2774,등산,국민의 힘
175,박건우,40,세종 강서구 123-45,010-9902-5580,게임,무소속
176,이수빈,31,성남 진해구 123-45,010-2631-6632,등산,개혁신당
177,임시우,53,용인 북구 123-45,010-7196-2461,음악감상,무소속
178,윤태윤,20,평택 덕양구 123-45,010-3201-6379,유튜브 보기,민주당
179,신시우,66,제주 덕진구 123-45,010-9546-2301,유튜브 보기,개혁신당
180,정지원,67,대구 달서구 123-45,010-5665-6313,유튜브 보기,개혁신당
181,정유진,68,고양 달서구 123-45,010-4032-3515,독서,개혁신당
182,임도윤,48,용인 기흥구 123-45,010-3235-4756,요리,국민의 힘
183,정서준,43,화성 덕진구 123-45,010-7381-7877,유튜브 보기,국민의 힘
184,최도윤,45,청주 성동구 123-45,010-5957-5320,음악감상,국민의 힘
185,임예은,31,용인 수성구 123-45,010-5438-1882,뜨개질,개혁신당
186,조도윤,56,울산 동구 123-45,010-2191-7203,보드게임,국민의 힘
187,서수빈,47,전주 기흥구 123-45,010-4042-3303,사진촬영,민주당
188,최지원,68,남양주 성동구 123-45,010-6876-8328,카페 투어,개혁신당
189,정민수,43,수원 진해구 123-45,010-6138-6530,요리,개혁신당
190,윤수빈,44,고양 달서구 123-45,010-8361-8877,웹서핑,민주당
191,오지원,70,대전 성북구 123-45,010-3766-8820,유튜브 보기,국민의 힘
192,최예린,66,인천 장유동 123-45,010-1848-6451,운동,민주당
193,신수빈,43,울산 신제주 123-45,010-5136-1062,유튜브 보기,무소속
194,조유진,66,포항 해운대구 123-45,010-9486-3196,사진촬영,개혁신당
195,장건우,77,용인 흥덕구 123-45,010-5627-3296,영화감상,무소속
196,임도윤,42,화성 덕진구 123-45,010-7970-9006,유튜브 보기,무소속
197,윤유진,46,전주 수성구 123-45,010-6033-3623,독서,민주당
198,서태윤,28,전주 덕양구 123-45,010-9752-4174,웹서핑,민주당
199,한은우,62,천안 덕진구 123-45,010-7089-8129,음악감상,국민의 힘
200,윤서준,44,고양 해운대구 123-45,010-6349-6690,영화감상,무소속
201,최지안,63,인천 성동구 123-45,010-3068-9981,뜨개질,무소속
202,한도윤,50,창원 성북구 123-45,010-3004-4195,등산,개혁신당
203,신지원,43,김해 성동구 123-45,010-9767-1597,등산,국민의 힘
204,최지안,79,인천 팔달구 123-45,010-4328-1309,뜨개질,개혁신당
205,윤도윤,51,창원 성북구 123-45,010-9315-5526,자전거 타기,개혁신당
206,장하윤,25,청주 분당구 123-45,010-3313-3382,유튜브 보기,민주당
207,이수빈,29,성남 서구 123-45,010-8282-4386,드로잉,무소속
208,김유진,23,수원 송파구 123-45,010-1623-4601,게임,개혁신당
209,정서연,26,창원 일산동구 123-45,010-7012-7187,음악감상,민주당
210,신수빈,63,안양 달서구 123-45,010-4819-3122,여행,개혁신당
211,윤지후,69,대전 동구 123-45,010-4716-8483,게임,국민의 힘
212,강도윤,62,천안 기흥구 123-45,010-6098-9084,독서,국민의 힘
213,최민수,73,용인 남구 123-45,010-4987-6001,게임,민주당
214,임태윤,57,부산 진해구 123-45,010-8576-4136,운동,무소속
215,조하은,38,안양 수성구 123-45,010-8327-4272,웹서핑,민주당
216,한수빈,76,안산 북구 123-45,010-1666-5865,독서,국민의 힘
217,서민수,60,제주 해운대구 123-45,010-2589-3260,영화감상,무소속
218,박지후,32,청주 장유동 123-45,010-8418-1534,카페 투어,개혁신당
219,임지안,44,대구 서구 123-45,010-3947-1902,뜨개질,국민의 힘
220,정현우,21,대구 덕양구 123-45,010-8464-7782,여행,개혁신당
221,윤지원,74,청주 진해구 123-45,010-6127-7994,드로잉,민주당
222,정예린,33,포항 흥덕구 123-45,010-1573-5284,음악감상,무소속
223,오서연,41,세종 덕양구 123-45,010-8885-4752,뜨개질,민주당
224,임지안,50,부산 강남구 123-45,010-3063-5591,게임,개혁신당
225,최지원,49,인천 기흥구 123-45,010-4511-9134,등산,국민의 힘
226,윤지후,39,천안 중구 123-45,010-7882-3523,보드게임,무소속
227,김하은,38,남양주 북구 123-45,010-9290-3902,드로잉,국민의 힘
228,조예은,40,청주 수성구 123-45,010-6163-5506,일기 쓰기,무소속
229,조지안,56,김해 동구 123-45,010-4410-6138,영화감상,무소속
230,오태윤,58,세종 수성구 123-45,010-7117-3974,요리,무소속
231,조시우,56,인천 동구 123-45,010-6564-3596,운동,국민의 힘
232,조하윤,44,화성 남구 123-45,010-9971-5402,게임,무소속
233,이서준,50,세종 서구 123-45,010-4623-6210,영화감상,개혁신당
234,강건우,61,창원 동구 123-45,010-7874-3308,자전거 타기,개혁신당
235,조예린,75,부산 진해구 123-45,010-6555-8380,음악감상,무소속
236,한하윤,60,서울 분당구 123-45,010-2884-8617,웹서핑,민주당
237,조하은,36,천안 강남구 123-45,010-9971-7477,유튜브 보기,개혁신당
238,박태윤,40,대구 중구 123-45,010-6398-3301,뜨개질,개혁신당
239,박하윤,71,남양주 성동구 123-45,010-7198-9591,뜨개질,무소속
240,윤서연,64,김해 강남구 123-45,010-2063-2105,카페 투어,국민의 힘
241,강태윤,22,창원 진해구 123-45,010-5037-1342,웹서핑,국민의 힘
242,오시우,75,창원 유성구 123-45,010-4476-4636,뜨개질,민주당
243,오예은,37,안양 일산동구 123-45,010-3786-1321,음악감상,국민의 힘
244,서지안,77,세종 분당구 123-45,010-6974-2979,자전거 타기,국민의 힘
245,강지안,38,창원 일산동구 123-45,010-3276-1620,독서,개혁신당
246,김지원,34,화성 송파구 123-45,010-4694-9980,게임,개혁신당
247,신도윤,25,안양 동구 123-45,010-9620-6564,자전거 타기,무소속
248,장민수,78,포항 장유동 123-45,010-6937-3963,독서,무소속
249,최은우,22,전주 해운대구 123-45,010-3903-6286,음악감상,국민의 힘
250,강하은,29,서울 유성구 123-45,010-5902-1104,게임,민주당
251,장하은,37,고양 일산동구 123-45,010-3459-7967,뜨개질,국민의 힘
252,한현우,28,부산 중구 123-45,010-5863-8755,수영,국민의 힘
253,오예린,36,천안 해운대구 123-45,010-5556-2586,음악감상,민주당
254,정예은,67,포항 신제주 123-45,010-4388-8421,사진촬영,개혁신당
255,최현우,68,대전 기흥구 123-45,010-4361-9871,수영,국민의 힘
256,윤유진,51,전주 기흥구 123-45,010-7482-6325,영화감상,민주당
257,윤지원,66,제주 송파구 123-45,010-1428-3958,보드게임,개혁신당
258,오민수,42,대구 해운대구 123-45,010-4922-4441,요리,국민의 힘
259,장지민,57,광주 북구 123-45,010-2778-8174,음악감상,개혁신당
260,장태윤,30,대전 유성구 123-45,010-7362-3606,영화감상,민주당
261,강현우,74,용인 팔달구 123-45,010-1725-1991,운동,개혁신당
262,임지원,68,안양 분당구 123-45,010-5637-1890,자전거 타기,민주당
263,정소율,41,포항 북구 123-45,010-7381-1218,웹서핑,무소속
264,이하윤,43,용인 기흥구 123-45,010-4478-2024,등산,민주당
265,김은우,42,청주 덕양구 123-45,010-2145-4850,드로잉,개혁신당
266,윤시우,33,김해 북구 123-45,010-8909-6031,음악감상,국민의 힘
267,이서연,40,수원 유성구 123-45,010-6138-9776,드로잉,민주당
268,정도윤,47,대구 덕양구 123-45,010-4280-3687,독서,개혁신당
269,서은우,33,광주 달서구 123-45,010-8615-5016,유튜브 보기,민주당
270,박지후,28,전주 성동구 123-45,010-5584-3778,사진촬영,무소속
271,정유진,26,포항 장유동 123-45,010-5355-2346,보드게임,국민의 힘
272,서현우,44,천안 팔달구 123-45,010-3464-3032,여행,민주당
273,최수빈,74,평택 진해구 123-45,010-2128-7854,일기 쓰기,민주당
274,강하윤,27,수원 일산동구 123-45,010-3852-1145,운동,개혁신당
275,조예은,68,청주 일산동구 123-45,010-9151-6742,등산,무소속
276,김지원,27,고양 달서구 123-45,010-1978-2198,일기 쓰기,국민의 힘
277,윤시우,72,부산 덕양구 123-45,010-3547-5853,게임,민주당
278,서수빈,70,광주 강남구 123-45,010-7915-6658,운동,개혁신당
279,장수빈,74,울산 성북구 123-45,010-7739-9736,뜨개질,민주당
280,조서연,25,포항 신제주 123-45,010-6611-5055,독서,개혁신당
281,윤하윤,46,성남 성북구 123-45,010-9140-3958,독서,국민의 힘
282,조태윤,38,수원 북구 123-45,010-1586-3662,영화감상,국민의 힘
283,윤건우,31,성남 강남구 123-45,010-5923-4889,등산,국민의 힘
284,윤하윤,48,고양 중구 123-45,010-6649-3173,영화감상,무소속
285,장하윤,72,광주 수성구 123-45,010-4689-3026,자전거 타기,개혁신당
286,오서준,35,김해 동구 123-45,010-2564-6201,독서,민주당
287,강은우,73,울산 강남구 123-45,010-7409-7025,유튜브 보기,개혁신당
288,정지안,47,대구 동구 123-45,010-2465-7231,웹서핑,개혁신당
289,정지민,79,성남 진해구 123-45,010-2046-4336,사진촬영,개혁신당
290,오소율,35,화성 달서구 123-45,010-4844-7192,독서,개혁신당
291,정예린,22,세종 서구 123-45,010-6885-6930,일기 쓰기,민주당
292,정지후,46,성남 강서구 123-45,010-1990-4922,드로잉,개혁신당
293,강시우,58,안양 강서구 123-45,010-9659-4262,드로잉,국민의 힘
294,오서준,22,천안 성동구 123-45,010-7929-9802,등산,국민의 힘
295,정지안,42,고양 동구 123-45,010-2381-1830,여행,국민의 힘
296,한하윤,47,서울 북구 123-45,010-2712-1531,웹서핑,무소속
297,최민수,56,부산 남구 123-45,010-4155-7228,독서,무소속
298,장은우,58,인천 기흥구 123-45,010-4997-7283,유튜브 보기,국민의 힘
299,박지후,73,화성 유성구 123-45,010-4181-3218,게임,국민의 힘
300,임소율,46,대구 흥덕구 123-45,010-4746-6712,영화감상,국민의 힘
301,정건우,36,안양 수성구 123-45,010-3767-3615,일기 쓰기,민주당
302,박서연,45,서울 강남구 123-45,010-4769-9622,게임,무소속
303,한지원,47,평택 분당구 123-45,010-2481-6428,영화감상,민주당
304,조서연,26,용인 기흥구 123-45,010-5496-5719,보드게임,무소속
305,조예린,66,세종 중구 123-45,010-2587-4699,뜨개질,무소속
306,한현우,77,용인 장유동 123-45,010-3978-4210,게임,국민의 힘
307,박도윤,38,남양주 진해구 123-45,010-6001-4218,자전거 타기,민주당
308,신지원,52,용인 팔달구 123-45,010-4576-4773,등산,개혁신당
309,최예린,55,대전 덕진구 123-45,010-9048-4220,영화감상,개혁신당
310,윤민수,79,평택 송파구 123-45,010-1376-9792,일기 쓰기,무소속
311,임유진,20,부산 북구 123-45,010-3422-5004,게임,민주당
312,정예은,71,광주 성북구 123-45,010-6223-3955,독서,개혁신당
313,한현우,21,대구 흥덕구 123-45,010-5347-5933,유튜브 보기,개혁신당
314,이지후,64,울산 성동구 123-45,010-3608-9602,자전거 타기,무소속
315,임유진,53,화성 서구 123-45,010-5091-1605,유튜브 보기,국민의 힘
316,신건우,77,성남 동구 123-45,010-7942-2797,사진촬영,무소속
317,임지후,32,세종 기흥구 123-45,010-4230-7537,뜨개질,무소속
318,최태윤,20,화성 분당구 123-45,010-3366-5559,드로잉,민주당
319,윤시우,71,용인 성북구 123-45,010-6734-6220,게임,민주당
320,장지민,53,청주 성동구 123-45,010-5069-9636,등산,무소속
321,강서연,36,평택 일산동구 123-45,010-3044-3258,드로잉,개혁신당
322,강태윤,64,성남 해운대구 123-45,010-5472-2725,보드게임,무소속
323,조민수,65,포항 성동구 123-45,010-9041-4297,독서,민주당
324,조소율,34,성남 덕진구 123-45,010-8552-7134,등산,민주당
325,박지민,58,청주 강남구 123-45,010-2490-1839,웹서핑,민주당
326,강태윤,54,김해 송파구 123-45,010-5345-4615,일기 쓰기,민주당
327,오수빈,57,수원 덕양구 123-45,010-5963-5725,카페 투어,국민의 힘
328,장유진,23,포항 강남구 123-45,010-2904-8419,카페 투어,민주당
329,임건우,48,세종 기흥구 123-45,010-1387-4330,유튜브 보기,개혁신당
330,정소율,51,화성 흥덕구 123-45,010-8450-6465,드로잉,민주당
331,임지원,58,인천 강서구 123-45,010-1523-2681,드로잉,개혁신당
332,신건우,50,포항 남구 123-45,010-4828-5554,영화감상,민주당
333,오현우,61,전주 신제주 123-45,010-5475-6481,등산,무소속
334,최서연,52,창원 달서구 123-45,010-5583-9360,웹서핑,무소속
335,장시우,21,광주 북구 123-45,010-5791-3308,요리,무소속
336,박민수,38,안산 강남구 123-45,010-9833-6180,자전거 타기,국민의 힘
337,김예린,78,남양주 일산동구 123-45,010-1935-7044,요리,개혁신당
338,최서연,73,창원 달서구 123-45,010-5239-6103,유튜브 보기,무소속
339,이지원,33,제주 덕진구 123-45,010-2009-1998,보드게임,개혁신당
340,이민수,36,청주 중구 123-45,010-3007-4105,영화감상,무소속
341,강서연,75,광주 남구 123-45,010-7556-4440,요리,국민의 힘
342,정하은,22,수원 송파구 123-45,010-8412-2566,드로잉,국민의 힘
343,김지민,36,전주 남구 123-45,010-9962-8209,등산,무소속
344,정은우,74,천안 장유동 123-45,010-8237-4000,사진촬영,민주당
345,오하윤,37,제주 송파구 123-45,010-4254-8987,독서,민주당
346,신하은,55,부산 서구 123-45,010-7918-3260,게임,민주당
347,장하윤,24,남양주 북구 123-45,010-3122-4897,독서,민주당
348,조지민,27,전주 성북구 123-45,010-4711-2524,일기 쓰기,개혁신당
349,강지원,46,부산 장유동 123-45,010-7411-6312,영화감상,개혁신당
350,이민수,31,안양 서북구 123-45,010-2794-2919,운동,민주당
351,윤예린,71,청주 신제주 123-45,010-3600-2162,유튜브 보기,개혁신당
352,박민수,57,천안 해운대구 123-45,010-8741-3548,요리,민주당
353,신도윤,21,고양 달서구 123-45,010-4552-8532,웹서핑,민주당
354,최서연,26,광주 성북구 123-45,010-6520-3331,영화감상,국민의 힘
355,임지민,67,안양 성동구 123-45,010-5086-8715,웹서핑,개혁신당
356,이은우,32,전주 서구 123-45,010-8095-9058,사진촬영,개혁신당
357,박도윤,63,청주 분당구 123-45,010-4563-8345,여행,민주당
358,서지후,27,대구 북구 123-45,010-4972-6721,보드게임,민주당
359,조지후,73,천안 분당구 123-45,010-6552-1825,등산,국민의 힘
360,강시우,54,천안 덕진구 123-45,010-5983-1096,등산,개혁신당
361,한지후,74,안양 남구 123-45,010-8562-5186,음악감상,개혁신당
362,서소율,45,안산 송파구 123-45,010-4628-9544,운동,민주당
363,김도윤,56,화성 덕진구 123-45,010-4877-2686,웹서핑,개혁신당
364,정지안,64,성남 분당구 123-45,010-6846-8607,독서,국민의 힘
365,한하은,26,김해 달서구 123-45,010-1155-5560,독서,국민의 힘
366,임시우,69,화성 북구 123-45,010-7394-6617,사진촬영,국민의 힘
367,오시우,68,화성 남구 123-45,010-2294-4154,운동,무소속
368,서하은,20,울산 강남구 123-45,010-6771-3185,뜨개질,개혁신당
369,김지안,77,울산 남구 123-45,010-8141-8875,일기 쓰기,무소속
